THETA	DTHETA	T
0.00	1.00	0.00
0.13	0.99	0.00
0.25	0.97	0.00
0.37	0.93	0.00
0.48	0.88	0.00
0.59	0.81	0.00
0.68	0.73	0.00
0.77	0.64	0.00
0.84	0.54	0.00
0.90	0.43	0.00
0.95	0.31	0.00
0.98	0.19	0.00
1.00	0.06	0.00
1.00	-0.06	0.00
0.98	-0.19	0.00
0.95	-0.31	0.00
0.90	-0.43	0.00
0.84	-0.54	0.00
0.77	-0.64	0.00
0.68	-0.73	0.00
0.59	-0.81	0.00
0.48	-0.88	0.00
0.37	-0.93	0.00
0.25	-0.97	0.00
0.13	-0.99	0.00
0.00	-1.00	0.00
-0.13	-0.99	0.00
-0.25	-0.97	0.00
-0.37	-0.93	0.00
-0.48	-0.88	0.00
-0.59	-0.81	0.00
-0.68	-0.73	0.00
-0.77	-0.64	0.00
-0.84	-0.54	0.00
-0.90	-0.43	0.00
-0.95	-0.31	0.00
-0.98	-0.19	0.00
-1.00	-0.06	0.00
-1.00	0.06	0.00
-0.98	0.19	0.00
-0.95	0.31	0.00
-0.90	0.43	0.00
-0.84	0.54	0.00
-0.77	0.64	0.00
-0.68	0.73	0.00
-0.59	0.81	0.00
-0.48	0.88	0.00
-0.37	0.93	0.00
-0.25	0.97	0.00
-0.13	0.99	0.00
0.00	1.00	0.00
